"num" "sf" "shift" "Temp" "LM" "MW" "C" "N" "Rh" "O" "cansmi" "envlab" "ref"
"38" "RhMan0925-CMP79" "C19H42P2RhZn" "-843" 298 "C6D6" 500.769802 19 0 1 0 "C[Zn]([Rh]12345(C6C3(C2(C5(C1(C46C)C)C)C)C)(P(C)(C)C)P(C)(C)C)C" "C1C1C1C1C1C1P1P1Zn9" "https://doi.org/10.1002/chem.202003167"
"39" "RhMan0925-CMP80" "C17H36Cl2GeP2Rh" "-387" 298 "C6D5Br" 548.866762 17 0 1 0 "Cl[Ge]([Rh]12345(C6C3(C2(C5(C1(C46C)C)C)C)C)(P(C)(C)C)P(C)(C)C)Cl" "C1C1C1C1C1C1P1P1Ge9" "https://doi.org/10.1002/chem.202003167"
"40" "RhMan0925-CMP81" "C17H36Cl2P2RhSn" "-467" 298 "C6D5Br" 594.927762 17 0 1 0 "Cl[Sn]([Rh]12345(C6C3(C2(C5(C1(C46C)C)C)C)C)(P(C)(C)C)P(C)(C)C)Cl" "C1C1C1C1C1C1P1P1Sn9" "https://doi.org/10.1002/chem.202003167"
"41" "RhMan0925-CMP82" "C20H45AlP2Rh" "-903" 298 "C6D6" 477.40586 20 0 1 0 "CP([Rh]12345([Al](C)(C)C)(C6C3(C2(C5(C1(C46C)C)C)C)C)P(C)(C)C)(C)C" "C1C1C1C1C1C1P1P1Al9" "https://doi.org/10.1002/chem.202003167"
"42" "RhMan0925-CMP83" "C17H36ClCuP2Rh" "-171" 298 "C6D5Br" 504.319762 17 0 1 0 "Cl[Cu][Rh]12345(C6C3(C2(C5(C1(C46C)C)C)C)C)(P(C)(C)C)P(C)(C)C" "C1C1C1C1C1C1P1P1Cu9" "https://doi.org/10.1002/chem.202003167"
"43" "RhMan0925-CMP84" "C38H33B9P2Rh" "-973" 298 "CDCl3" 751.820642 38 0 1 0 "c1ccc(cc1)P([RhH]1234(P(c5ccccc5)(c5ccccc5)c5ccccc5)[C]567[C]891[B]1%103[B]3%114[B]425[B]25%12%10%11[B]%10%117[B]768[B]9132[B]%12%117[B]45%10)(c1ccccc1)c1ccccc1" "B1B1C1B1C1H1P1P1" "https://doi.org/10.1021/acs.inorgchem.9b03351"
"44" "RhMan0925-CMP85" "C38H33B9P2Rh" "-923" 298 "CDCl3" 751.820642 38 0 1 0 "c1ccc(cc1)P([RhH]1234(P(c5ccccc5)(c5ccccc5)c5ccccc5)[B]567[C]891[B]1%103[B]3%114[B]425C25[B]%12%137[B]768[B]6913[B]%10%1142%12[B]5%1376)(c1ccccc1)c1ccccc1" "B1B1C1B1B1H1P1P1" "https://doi.org/10.1021/acs.inorgchem.9b03351"
"45" "RhMan0925-CMP86" "C37H26F3PRh" "670" 298 "CD2Cl2" 661.4768106 37 0 1 0 "Fc1ccc(cc1)P([Rh]123(c4ccccc4c4ccccc4)C4=C3C3C2=C1C4C3)(c1ccc(cc1)F)c1ccc(cc1)F" "C1C1C1C1C1P1" "https://doi.org/10.1021/acsmacrolett.9b00975"
"46" "RhMan0925-CMP87" "C24H24O3PRh" "262" 298 "CDCl3" 494.324821 24 0 1 3 "[O]#C[Rh]1(OC(C)C=C(O1)C)P(c1ccccc1)(c1ccccc1)c1ccccc1" "O1O1C1P1" "https://doi.org/10.1016/j.poly.2019.04.052"
"47" "RhMan0925-CMP88" "C24H20F3O3PRh" "287" 298 "CDCl3" 547.2882706 24 0 1 3 "[O]#C[Rh]1([O]=C(C)C=C(O1)C(F)(F)F)P(c1ccccc1)(c1ccccc1)c1ccccc1" "O1O1C1P1" "https://doi.org/10.1016/j.poly.2019.04.052"
"48" "RhMan0925-CMP89" "C24H20F3O3PRh" "301" 298 "CDCl3" 547.2882706 24 0 1 3 "[O]#C[Rh]1([O]=C(C)C=C(O1)C(F)(F)F)P(c1ccccc1)(c1ccccc1)c1ccccc1" "O1O1C1P1" "https://doi.org/10.1016/j.poly.2019.04.052"
"49" "RhMan0925-CMP90" "C33H29FeO3PRh" "279" 298 "CDCl3" 663.305821 33 0 1 3 "[O]#C[Rh]1([O]=C(C)C=C(O1)C12C3[Fe]4567892(C1C5C34)C1C8C7C6C91)P(c1ccccc1)(c1ccccc1)c1ccccc1" "O1O1C1P1" "https://doi.org/10.1016/j.poly.2019.04.052"
"50" "RhMan0925-CMP91" "C33H29FeO3PRh" "293" 298 "CDCl3" 663.305821 33 0 1 3 "[O]#C[Rh]1(OC(=CC(=[O]1)C12C3[Fe]4567892(C1C5C34)C1C8C7C6C91)C)P(c1ccccc1)(c1ccccc1)c1ccccc1" "O1O1C1P1" "https://doi.org/10.1016/j.poly.2019.04.052"
"51" "RhMan0925-CMP92" "C42H35Fe2O3PRh" "311" 298 "CDCl3" 833.294761 42 0 1 3 "[O]#C[Rh]1(OC(=CC(=[O]1)C12C3[Fe]4567892(C1C5C34)C1C8C7C6C91)C12C3[Fe]4567892(C1C5C34)C1C8C7C6C91)P(c1ccccc1)(c1ccccc1)c1ccccc1" "O1O1C1P1" "https://doi.org/10.1016/j.poly.2019.04.052"
"52" "RhMan0925-CMP93" "C38H31FeO3PRh" "301" 298 "CDCl3" 725.375201 38 0 1 3 "[O]#C[Rh]1(OC(=CC(=[O]1)C12C3[Fe]4567892(C1C5C34)C1C8C7C6C91)c1ccccc1)P(c1ccccc1)(c1ccccc1)c1ccccc1" "O1O1C1P1" "https://doi.org/10.1016/j.poly.2019.04.052"
"53" "RhMan0925-CMP94" "C38H31FeO3PRh" "309" 298 "CDCl3" 725.375201 38 0 1 3 "[O]#C[Rh]1(OC(=CC(=[O]1)C12C3[Fe]4567892(C1C5C34)C1C8C7C6C91)c1ccccc1)P(c1ccccc1)(c1ccccc1)c1ccccc1" "O1O1C1P1" "https://doi.org/10.1016/j.poly.2019.04.052"
"54" "RhMan0925-CMP95" "C33H26F3FeO3PRh" "315" 298 "CDCl3" 717.2772106 33 0 1 3 "[O]#C[Rh]1(OC(=CC(=[O]1)C12C3[Fe]4567892(C1C5C34)C1C8C7C6C91)C(F)(F)F)P(c1ccccc1)(c1ccccc1)c1ccccc1" "O1O1C1P1" "https://doi.org/10.1016/j.poly.2019.04.052"
"55" "RhMan0925-CMP96" "C33H26F3FeO3PRh" "315" 298 "CDCl3" 717.2772106 33 0 1 3 "[O]#C[Rh]1(OC(=CC(=[O]1)C12C3[Fe]4567892(C1C5C34)C1C8C7C6C91)C(F)(F)F)P(c1ccccc1)(c1ccccc1)c1ccccc1" "O1O1C1P1" "https://doi.org/10.1016/j.poly.2019.04.052"
"56" "RhMan0925-CMP97" "C34H27O3PRh" "303" 298 "CDCl3" 617.455641 34 0 1 3 "[O]#C[Rh]1(OC(=CC(=[O]1)c1ccccc1)c1ccccc1)P(c1ccccc1)(c1ccccc1)c1ccccc1" "O1O1C1P1" "https://doi.org/10.1016/j.poly.2019.04.052"
